epoch,train_loss,val_loss,precision,recall,iou,dice,lr
80,0.610058,0.715321,0.778207,0.804460,0.656754,0.781520,0.00066842
81,0.604358,0.735251,0.811984,0.755581,0.646025,0.770872,0.00066090
82,0.604571,0.727289,0.796926,0.772422,0.649353,0.774179,0.00065334
83,0.604931,0.717498,0.768032,0.807423,0.656215,0.782193,0.00064574
84,0.605803,0.741800,0.815248,0.755279,0.647693,0.774306,0.00063810
85,0.604050,0.735709,0.823411,0.744636,0.646306,0.771630,0.00063042
86,0.601526,0.722120,0.817696,0.754811,0.649390,0.775713,0.00062271
87,0.597487,0.735427,0.792105,0.779254,0.647785,0.772698,0.00061497
88,0.596269,0.718626,0.780179,0.795730,0.652732,0.778787,0.00060721
89,0.599145,0.732823,0.815420,0.754692,0.647564,0.774224,0.00059941
90,0.596182,0.728101,0.809081,0.765764,0.653506,0.778955,0.00059159
91,0.593631,0.740372,0.797762,0.774351,0.651357,0.777249,0.00058375
92,0.594078,0.743131,0.796122,0.774027,0.646848,0.774361,0.00057588
93,0.594998,0.747338,0.790193,0.780575,0.647163,0.772721,0.00056800
