epoch,train_loss,val_loss,precision,recall,iou,dice,lr
84,0.260851,0.307203,0.780183,0.790584,0.649581,0.776003,0.00082760
85,0.256965,0.299944,0.779028,0.799772,0.655825,0.780733,0.00082359
86,0.256050,0.309468,0.793902,0.771693,0.645567,0.773719,0.00081954
87,0.252695,0.297377,0.782436,0.797747,0.655341,0.780699,0.00081546
88,0.251903,0.291921,0.768166,0.818430,0.658084,0.784040,0.00081134
89,0.251469,0.299368,0.790322,0.789736,0.654309,0.780667,0.00080719
90,0.251602,0.294650,0.793473,0.792211,0.658365,0.784720,0.00080300
91,0.251649,0.294213,0.763953,0.814251,0.657017,0.783816,0.00079878
92,0.246229,0.298411,0.774617,0.807481,0.655622,0.782251,0.00079453
93,0.249203,0.298648,0.784182,0.790950,0.654226,0.780923,0.00079024
94,0.250075,0.294718,0.782103,0.800676,0.656881,0.783950,0.00078592
95,0.249608,0.293394,0.777556,0.801820,0.657627,0.784166,0.00078157
96,0.247965,0.293348,0.777106,0.805327,0.655395,0.781863,0.00077718
97,0.251203,0.294740,0.776284,0.807079,0.657959,0.782831,0.00077277
